time_s,energy,centroid,onset,harm_flux,perc_onset,melody_f0,contrast
89.00,0.18160,1754.36184,139.46621,0.15841,166.04692,727.82227,3.20729
89.50,0.18583,2009.23963,125.14800,0.14417,272.12253,882.86133,2.97737
90.00,0.15135,2261.29003,48.84537,0.10911,198.63559,882.86133,2.83414
90.50,0.17945,1876.57585,106.97414,0.11038,128.71808,882.86133,2.99958
91.00,0.18719,1546.16944,114.88881,0.12430,116.80141,723.51562,3.26920
91.50,0.14319,2059.68506,92.97921,0.16399,216.30169,878.55469,3.39790
92.00,0.14728,2232.82951,122.03102,0.14720,391.88393,723.51562,3.25508
92.50,0.19573,1781.57855,180.21578,0.14032,242.41646,882.86133,3.24251
93.00,0.12507,2038.13890,39.31520,0.09807,140.76091,880.70801,3.08252
93.50,0.11754,2296.78759,61.51195,0.09638,180.81027,878.55469,2.97456
94.00,0.12316,2073.68227,87.85442,0.15347,168.02976,900.08789,3.16480
94.50,0.18213,1944.37224,178.51209,0.18911,200.34329,527.56348,2.92236
95.00,0.14255,2129.52036,106.43396,0.12848,296.62656,783.80859,3.18148
95.50,0.16974,1841.23550,139.91069,0.14855,242.00917,671.83594,3.20531
96.00,0.16670,1510.47560,144.34744,0.17781,175.46386,495.26367,3.08347
96.50,0.07380,1988.82595,48.04585,0.09660,118.35819,101.20605,2.63303
97.00,0.11208,2133.40663,109.50358,0.09603,207.77615,146.42578,2.91712
97.50,0.19492,1491.89836,214.66722,0.25856,157.99288,609.38965,2.86645
98.00,0.11828,1783.75243,65.20119,0.17796,169.00068,895.78125,2.80675
98.50,0.14303,1993.50034,65.75533,0.13166,210.84451,878.55469,3.06783
99.00,0.15405,1827.77948,154.09009,0.23554,246.98436,768.73535,2.92976
99.50,0.14752,1495.78834,114.68742,0.14880,77.35627,921.62109,3.04384
100.00,0.12733,1961.24019,63.86238,0.12885,176.49523,882.86133,3.02307
100.50,0.15536,1744.42843,174.11950,0.31803,159.97455,665.37598,2.89799
101.00,0.18061,1498.79121,141.47313,0.15326,147.97564,574.93652,2.95718
101.50,0.12396,2313.04326,75.16100,0.16492,325.41503,667.52930,2.73325
102.00,0.13402,1897.88617,145.03211,0.23518,140.32303,785.96191,2.92684
102.50,0.17260,1417.37610,140.81668,0.20750,68.96172,579.24316,3.07015
103.00,0.08625,1730.36264,57.95076,0.12124,159.57386,86.13281,2.94068
103.50,0.06887,1663.43358,35.57042,0.12284,177.29311,88.28613,3.16940
104.00,0.17059,1651.18040,176.45287,0.15915,336.84444,277.77832,2.73913
104.50,0.13600,1404.03864,81.36859,0.14403,126.59879,366.06445,2.87554
105.00,0.10703,1575.46503,47.23923,0.09614,118.35035,370.37109,2.92929
105.50,0.14002,1354.49994,118.58262,0.14705,101.13277,282.08496,3.07633
106.00,0.13373,1120.24876,118.44614,0.14738,56.57827,249.78516,3.19115
106.50,0.07628,2147.48386,55.69267,0.11486,274.42254,320.84473,2.76114
107.00,0.05910,2144.17406,34.44056,0.08635,92.20563,150.73242,2.78796
107.50,0.08479,2769.42973,69.69313,0.09451,175.81950,316.53809,2.44107
108.00,0.13384,2332.29997,101.43725,0.15360,135.59288,635.22949,2.58127
108.50,0.12239,3092.65743,91.87245,0.14515,468.76758,568.47656,2.74987
109.00,0.11641,2688.42550,90.30321,0.16807,92.71134,482.34375,2.66539
109.50,0.09980,1978.93895,88.74420,0.26541,113.64761,447.89062,3.07623
110.00,0.08232,2312.94869,38.19146,0.14611,75.76202,413.43750,2.69319
110.50,0.08716,2191.26702,86.69483,0.27610,83.24793,368.21777,2.78920
111.00,0.10338,2016.74394,72.63501,0.24374,85.82490,540.48340,3.02193
111.50,0.10112,2362.74453,82.59253,0.13502,175.01164,342.37793,2.92214
112.00,0.09243,1891.38158,61.80378,0.27306,60.43631,359.60449,3.38886
112.50,0.10046,2589.59867,60.61638,0.19745,153.55943,383.29102,2.64027
113.00,0.04136,2879.48147,31.53024,0.13524,58.48763,355.29785,2.76372
113.50,0.02852,2087.61722,12.67055,0.09950,68.86364,148.57910,3.28207
114.00,0.06643,2502.31545,69.94373,0.11771,92.43649,357.45117,3.12974
114.50,0.09822,1861.46583,100.78843,0.26669,184.38008,303.61816,3.25034
115.00,0.14447,2422.52949,120.56661,0.09851,291.44854,878.55469,3.44167
115.50,0.12392,2643.46375,132.10274,0.35413,200.85079,658.91602,2.91415
116.00,0.11929,2232.77224,89.37896,0.22945,123.17185,499.57031,2.93128
116.50,0.08955,2238.86289,89.42598,0.32388,83.36102,454.35059,2.83473
117.00,0.07458,2360.59226,75.98911,0.28211,80.17758,338.07129,2.98896
117.50,0.10074,2035.53282,59.82096,0.15316,56.66163,521.10352,2.88332
118.00,0.08855,2180.63023,61.95262,0.19340,91.70725,411.28418,2.90119
118.50,0.10082,2255.75885,59.64058,0.19779,93.00915,363.91113,3.02664
119.00,0.08296,2438.13093,55.69701,0.21639,92.25477,325.15137,2.84393
119.50,0.04416,2651.92558,34.41213,0.17292,54.30359,411.28418,2.78482
120.00,0.03189,2033.57814,13.33078,0.07730,36.49158,148.57910,3.14947
120.50,0.02400,1635.39976,14.74370,0.08623,21.34959,273.47168,3.16491
121.00,0.18540,1972.82327,194.18205,0.16889,217.59008,579.24316,3.11452
121.50,0.15793,2160.84391,118.84044,0.17857,266.73539,549.09668,3.00614
122.00,0.15277,1998.65050,159.46860,0.20831,220.70519,232.55859,2.95997
122.50,0.16579,1427.34859,162.96278,0.25599,149.44870,460.81055,2.76002
123.00,0.09604,2014.90840,88.85714,0.26007,112.92243,391.90430,3.03068
123.50,0.13671,1678.59776,164.40159,0.21247,150.58594,295.00488,2.77919
124.00,0.17753,1312.34566,193.69184,0.19149,136.22533,223.94531,3.14390
124.50,0.08694,1794.65157,61.71633,0.16525,198.62646,282.08496,2.92335
125.00,0.09683,2040.56715,68.70815,0.12599,251.77069,615.84961,3.28607
125.50,0.15912,2148.70320,129.24649,0.16623,244.67624,415.59082,2.49190
